Name,Lat,Lon,pop,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,target_hou,full_popul,500mBufYN,450mBufYN,475mBufYN,400mBufYN,425mBufYN,350mBufYN,375mBufYN,newpop
8.20113E+11,1.39117,127.491448,296.259384,4.259259259,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.703704,421,1,1,1,1,1,1,1,0
8.20113E+11,1.385779,127.49085,27.444456,4.259259259,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.703704,39,1,1,1,1,1,1,1,0
8.20113E+11,1.383131,127.490261,313.632856,4.612244898,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.693878,452,1,1,1,1,1,1,1,0
8.20113E+11,1.397936,127.495456,245.17255,4.540229885,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.62069,395,1,1,1,1,1,1,1,0
8.20113E+11,1.414749,127.508552,271.872801,3.485549133,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.450867,603,1,1,1,1,1,1,1,0
8.20113E+11,1.425407,127.521854,126.822818,4.16,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.462857,274,1,1,1,1,1,1,1,0
8.20113E+11,1.423117,127.516951,547.096974,4.16,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.462857,1182,1,1,1,1,1,1,1,0
8.20113E+11,1.429875,127.530257,0,2.678832117,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.751825,0,1,1,1,1,1,1,1,0
8.20113E+11,1.426722,127.522456,551.83955,2.678832117,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.751825,734,1,1,1,1,1,1,1,0
8.20113E+11,1.431359,127.530359,203.989656,4.340206186,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.484536,421,1,1,1,1,1,1,1,0
8.20113E+11,1.435645,127.533807,343.137405,4.571428571,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.445055,771,1,1,1,1,1,1,1,0
8.20113E+11,1.434584,127.536292,12.46154,4.571428571,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.445055,28,1,1,1,1,1,1,1,0
8.20113E+11,1.432707,127.531689,14.686815,4.571428571,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.445055,33,1,1,1,1,1,1,1,0
8.20113E+11,1.435879,127.537524,253.15784,3.421052632,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.486842,520,1,1,1,1,1,1,1,0
8.20113E+11,1.524061,127.5622,488.322445,3.875576037,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.580645,841,1,1,1,1,1,1,1,0
8.20113E+11,1.531575,127.574714,123.67349,4.12244898,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.612245,202,1,1,1,1,1,1,1,0
8.20113E+11,1.535129,127.586269,41.512575,4.235294118,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.638655,65,1,1,1,1,1,1,1,0
8.20113E+11,1.534634,127.584483,280.369545,4.235294118,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.638655,439,1,1,1,1,1,1,1,0
8.20113E+11,1.540526,127.601732,708.835128,4.375527426,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.683544,1037,1,1,1,1,1,1,1,0
8.20113E+11,1.551919,127.621296,451.164952,3.791304348,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.517391,872,1,1,1,1,1,1,1,0
8.20113E+11,1.550049,127.625324,44.531942,4.063829787,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.489362,91,1,1,1,1,1,1,1,0
8.20113E+11,1.54892,127.625744,5.382982,4.063829787,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.489362,11,1,1,1,1,1,1,1,0
8.20113E+11,1.547413,127.626751,137.02136,4.063829787,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.489362,280,1,1,1,1,1,1,1,0
8.20113E+11,1.547881,127.634904,303.772092,4.278481013,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.449367,676,1,1,1,1,1,1,1,0
8.20113E+11,1.544471,127.645729,193.229043,3.864583333,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.520833,371,1,1,1,1,1,1,1,0
8.20113E+11,1.543918,127.642633,205.20019,3.8,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.415385,494,1,1,1,1,1,1,1,0
8.20113E+11,1.543041,127.64584,76.333486,3.816666667,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.166667,458,1,1,1,1,1,1,1,0
